               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09977,            0.065169,            0.026917,             0.10273,             0.25063,            0.092772,            0.028496,            0.071126,              0.0494,            0.024704,            0.070588,            0.003268,            0.003268
                   1,             0.07897,            0.063548,            0.023578,             0.11362,             0.39847,             0.15984,              0.0664,             0.06397,            0.039811,            0.022532,            0.040559,           0.0065716,           0.0065716
                   2,            0.075257,            0.053146,            0.022342,             0.43401,              0.3097,             0.20552,             0.10215,            0.061911,            0.038257,            0.021848,            0.010499,           0.0098452,           0.0098452
                   3,            0.072508,            0.049827,            0.021788,             0.43306,             0.32962,             0.22325,            0.098797,            0.060117,            0.037083,            0.020958,            0.009865,            0.009865,            0.009865
                   4,            0.063632,            0.051082,            0.020961,             0.48732,             0.33515,             0.28098,             0.13182,            0.049769,            0.035172,            0.019854,            0.009865,            0.009865,            0.009865
                   5,            0.058104,            0.051368,            0.019972,             0.47575,             0.38461,             0.29863,             0.17123,            0.048521,            0.032937,            0.018751,             0.00982,             0.00982,             0.00982
                   6,            0.053208,            0.046516,            0.018817,             0.31736,             0.46358,             0.32616,             0.18505,            0.048139,            0.032725,            0.017923,            0.009775,            0.009775,            0.009775
                   7,            0.051653,            0.046956,            0.018496,             0.34265,              0.5359,             0.38054,             0.21551,            0.045829,            0.031456,            0.017054,             0.00973,             0.00973,             0.00973
                   8,            0.049469,             0.04714,             0.01768,             0.34782,             0.55545,             0.43557,             0.25281,            0.042199,            0.030426,            0.016441,            0.009685,            0.009685,            0.009685
                   9,            0.046486,            0.045477,            0.016958,             0.59493,             0.46969,              0.4667,             0.26673,             0.04254,            0.029665,            0.015658,             0.00964,             0.00964,             0.00964
                  10,            0.046767,            0.045302,            0.016495,             0.65734,             0.48035,             0.51749,             0.30966,              0.0396,            0.029305,            0.014814,            0.009595,            0.009595,            0.009595
                  11,            0.045753,            0.042595,            0.015502,             0.66777,             0.49021,             0.53509,             0.34007,            0.038041,            0.028463,            0.013907,             0.00955,             0.00955,             0.00955
                  12,            0.044412,            0.043735,             0.01508,              0.7515,             0.51436,             0.59047,             0.30031,            0.044031,            0.028913,            0.013335,            0.009505,            0.009505,            0.009505
